Year,CO2 Emissions (Gt),Electricity Generation (PWh),Energy Consumption (PWh),GDP,GDP per Capita,GDP (Trillions),Population,Population (Billions)
1965,11.08845735476529,0,42.35799185115242,1961944483712.14,590.0670768623313,1.9619444837121398,3324951621,3.324951621
1966,11.600854048852668,0,44.65216145944709,2128619422408.42,627.0115946006305,2.12861942240842,3394864530,3.39486453
1967,11.953222536885564,0,46.32006816209917,2264793675472.3,653.7258506402417,2.2647936754723,3464439525,3.464439525
1968,12.603132537910605,0,49.12257832304891,2443345941026.71,691.2219491556109,2.4433459410267098,3534821115,3.534821115
1969,13.394571790972337,0,52.49903577216551,2690870797695.49,745.5208430894918,2.6908707976954904,3609383725,3.609383725
1970,14.132447786009783,0,55.73620551750955,2956885263956.69,802.4621830197016,2.95688526395669,3684765870,3.68476587
1971,14.5685732678751,0,57.859340494767345,3265917075455.06,868.087425018227,3.26591707545506,3762198347,3.762198347
1972,15.258098981957714,0,60.9357935680765,3766131377379.81,981.0380315975627,3.76613137737981,3838924951,3.838924951
1973,16.081702415648675,0,64.3842440820893,4589203445245.55,1172.2529658168837,4.58920344524555,3914857611,3.914857611
1974,15.977772146045012,0,64.60200383194517,5292853388124.73,1326.054113972463,5.292853388124731,3991430917,3.991430917
1975,15.986300216638256,0,64.86266792037641,5893742092987.04,1449.4229392105506,5.89374209298704,4066267984,4.066267984
1976,16.840364288985313,0,68.32581598898145,6412245309406.65,1549.1691852688575,6.41224530940665,4139151082,4.139151082
1977,17.365230502815947,0,70.67719215138804,7252968306810.71,1722.0665416771815,7.25296830681071,4211781677,4.211781677
1978,17.620209264944613,0,72.81094155960102,8537753756958.14,1992.1913048950814,8.53775375695814,4285609387,4.285609387
1979,18.16662589337609,0,75.24585943169564,9919046089674.77,2274.3349224575977,9.919046089674769,4361295248,4.361295248
1980,17.980042282621845,0,74.62819120606878,11166003844627.3,2516.1745756480364,11.166003844627301,4437690434,4.437690434
1981,17.730284037685138,0,74.16677926169862,11457611762565.2,2537.247359106895,11.457611762565199,4515764583,4.515764583
1982,17.533246278639158,0,73.75247027639637,11355656421230.4,2470.332387007669,11.3556564212304,4596813158,4.596813158
1983,17.681850749629227,0,74.87304252554334,11616289845852.5,2482.8953455282513,11.6162898458525,4678525765,4.678525765
1984,18.354215512736236,0,78.50364981158012,12058393957798,2533.2854296119704,12.058393957798,4759982360,4.75998236
1985,18.58977827710703,9.46535262590674,79.86338551347708,12681690895939.6,2618.5246016244455,12.6816908959396,4843067309,4.843067309
1986,18.910217570141743,9.735396741814036,81.6018076528184,15014218229942.7,3046.2081597458646,15.0142182299427,4928822143,4.928822143
1987,19.516331566080442,10.19876766012102,84.52411988306399,17083141772090.1,3405.187751035165,17.083141772090098,5016798785,5.016798785
1988,20.172452508224406,10.642469325190062,87.70814605475717,19129417553328,3746.67726436733,19.129417553328,5105701987,5.105701987
1989,20.568357308750787,11.181510870049905,89.61228311609814,20080076891104.8,3865.4697273499446,20.080076891104802,5194731380,5.19473138
1990,20.641162208356363,11.432666655062803,90.60326918585993,22579759701252.1,4272.515663425219,22.5797597012521,5284886348,5.284886348
1991,20.709781161991657,11.712235261571589,91.4890813414813,23909829105950.2,4450.7596497502545,23.909829105950198,5372078249,5.372078249
1992,20.822488499655524,11.826169688605763,92.33220187238187,25389800980490.1,4653.435426574328,25.3898009804901,5456141249,5.456141249
1993,20.87426045928573,12.090135888325225,92.9449130753555,25834735037805.8,4662.404443531476,25.8347350378058,5541075501,5.541075501
1994,21.128918011846206,12.397674588714038,94.22332994332066,27740746941786.4,4931.828265339013,27.740746941786398,5624840414,5.624840414
1995,21.37709142884164,12.83690696378675,96.10666075857613,30840585358429,5401.382849175822,30.840585358429,5709757338,5.709757338
1996,21.99666207174206,13.24190392760253,98.93844931004875,31518975357605.6,5441.278111794647,31.5189753576056,5792568347,5.792568347
1997,22.171958808008924,13.55104237591233,99.91342749028514,31403319223627.4,5344.8835941217585,31.4033192236274,5875398158,5.875398158
1998,22.224681439127906,13.901449025824885,100.55404361183417,31314851252776.4,5256.606180807908,31.3148512527764,5957237460,5.95723746
1999,22.55607076164,14.301265555699938,102.4063160136505,32486113872865.7,5380.217274363682,32.4861138728657,6038067278,6.038067278
2e3,23.05847193309291,14.91088756576267,104.85888657212215,33543172517758.5,5482.634801199152,33.5431725177585,6118075293,6.118075293
2001,23.338628828471514,15.122933003085336,105.9746864644801,33335981983184.4,5378.8203431472475,33.335981983184396,6197638117,6.197638117
2002,23.86571568227039,15.645676974628504,108.36922028080726,34612407886315.4,5514.3183211726555,34.612407886315395,6276824417.88287,6.27682441788287
2003,25.072050706200912,16.22771414770011,112.42702782224245,38867460911728.5,6114.832231102104,38.8674609117285,6356259573.89893,6.35625957389893
2004,26.35379375421251,16.979498952138275,117.92824271429217,43770744134898.4,6800.5569228256645,43.7707441348984,6436346997.99137,6.43634699799137
2005,27.429907241552016,17.713367207506174,122.06290668490895,47385623695571.6,7271.056079541712,47.3856236955716,6517020798.24397,6.51702079824397
2006,28.290398818169464,18.38766637480651,125.75527931979761,51306757202160.1,7775.6110439235335,51.3067572021601,6598421257.48499,6.59842125748499
2007,29.321236135394617,19.255912922162135,129.86151644134645,57793330584397.1,8651.148314690792,57.793330584397104,6680423046.99093,6.68042304699093
2008,29.601630223928932,19.629354545818675,131.50009622537453,63386360623929.9,9371.48788343573,63.386360623929896,6763745673.29553,6.763745673295531
2009,28.940648377977002,19.44858476267104,129.355369110721,60086989444835.8,8775.391659465986,60.086989444835794,6847214549.1102,6.8472145491102
2010,30.271158956504323,20.68754064079994,135.62804635296268,65906150734910.9,9509.365936560627,65.9061507349109,6930656699.36223,6.93065669936223
2011,31.150363819530718,21.363817870191916,138.96849112832726,73241717918435.6,10443.939965973383,73.2417179184356,7012843635.35782,7.01284363535782
2012,31.47682222676433,21.883334333817952,140.93146231155507,74802287628562.6,10539.391977210382,74.8022876285626,7097400665.07723,7.09740066507723
2013,31.920822334828433,22.452647190207383,143.44788726600325,76924649557249.8,10709.473431173124,76.9246495572498,7182860114.61008,7.1828601146100794
2014,32.01555313099978,22.882667668804462,144.80770020777948,78972470867720.3,10864.303351036411,78.97247086772029,7268986175.73916,7.268986175739159
2015,31.934678734905727,23.242404055750608,145.96273173722886,74606412596560.3,10143.327925029362,74.60641259656029,7355220411.68203,7.35522041168203
2016,32.02658787309894,23.806145678520956,147.79057372706794,75641577475364.6,10163.961228947743,75.6415774753646,7442135578,7.442135578
